plate,name,lat,lon
1,ADANA,37.00000000,35.32133330
2,ADIYAMAN,37.76416670,38.27616670
3,AFYONKARAHİSAR,38.76376000,30.54034000
4,AĞRI,39.72166670,43.05666670
5,AMASYA,40.65000000,35.83333330
6,ANKARA,39.92077000,32.85411000
7,ANTALYA,36.88414000,30.70563000
8,ARTVİN,41.18333330,41.81666670
9,AYDIN,37.84440000,27.84580000
10,BALIKESİR,39.64836900,27.88261000
11,BİLECİK,40.15013100,29.98306100
12,BİNGÖL,38.88534900,40.49829100
13,BİTLİS,38.40000000,42.11666670
14,BOLU,40.73947900,31.61156100
15,BURDUR,37.72690900,30.28887600
16,BURSA,40.18257000,29.06687000
17,ÇANAKKALE,40.15531200,26.41416000
18,ÇANKIRI,40.60000000,33.61666670
19,ÇORUM,40.55055560,34.95555560
20,DENİZLİ,37.77652000,29.08639000
21,DİYARBAKIR,37.91441000,40.23062900
22,EDİRNE,41.66666670,26.56666670
23,ELAZIĞ,38.68096900,39.22639800
24,ERZİNCAN,39.75000000,39.50000000
25,ERZURUM,39.90431890,41.26788530
26,ESKİŞEHİR,39.78430200,30.51922000
27,GAZİANTEP,37.06622000,37.38332000
28,GİRESUN,40.91281100,38.38953000
29,GÜMÜŞHANE,40.46027780,39.48138890
30,HAKKARİ,37.58333330,43.73333330
31,HATAY,36.40184880,36.34980970
32,ISPARTA,37.76666670,30.55000000
33,MERSİN(İÇEL),36.80000000,34.63333330
34,İSTANBUL,41.00527000,28.97696000
35,İZMİR,38.41885000,27.12872000
36,KARS,40.59267000,43.07783100
37,KASTAMONU,41.38871000,33.78273000
38,KAYSERİ,38.73333330,35.48333330
39,KIRKLARELİ,41.73333330,27.21666670
40,KIRŞEHİR,39.15000000,34.16666670
41,KOCAELİ,40.85327040,29.88152030
42,KONYA,37.86666670,32.48333330
43,KÜTAHYA,39.41666670,29.98333330
44,MALATYA,38.35519000,38.30946000
45,MANİSA,38.61909900,27.42892100
46,KAHRAMANMARAŞ,37.58333330,36.93333330
47,MARDİN,37.31223610,40.73511200
48,MUĞLA,37.21527780,28.36361110
49,MUŞ,38.74329260,41.50648230
50,NEVŞEHİR,38.62442000,34.72396900
51,NİĞDE,37.96666670,34.68333330
52,ORDU,40.98333330,37.88333330
53,RİZE,41.02005000,40.52344900
54,SAKARYA,40.75687930,30.37813800
55,SAMSUN,41.29278200,36.33128000
56,SİİRT,37.94429000,41.93288000
57,SİNOP,42.02642220,35.15507450
58,SİVAS,39.74766200,37.01787900
59,TEKİRDAĞ,40.98333330,27.51666670
60,TOKAT,40.31666670,36.55000000
61,TRABZON,41.00000000,39.73333330
62,TUNCELİ,39.10798680,39.54016720
63,ŞANLIURFA,37.15000000,38.80000000
64,UŞAK,38.68230100,29.40819000
65,VAN,38.49416670,43.38000000
66,YOZGAT,39.82000000,34.80444440
67,ZONGULDAK,41.45640900,31.79873100
68,AKSARAY,38.36869000,34.03698000
69,BAYBURT,40.25516900,40.22488000
70,KARAMAN,37.17593000,33.22874800
71,KIRIKKALE,39.84682100,33.51525100
72,BATMAN,37.88116800,41.13509000
73,ŞIRNAK,37.51638890,42.46111110
74,BARTIN,41.63444440,32.33750000
75,ARDAHAN,41.11048100,42.70217100
76,IĞDIR,39.91666670,44.03333330
77,YALOVA,40.65000000,29.26666670
78,KARABÜK,41.20000000,32.63333330
79,KİLİS,36.71839900,37.12122000
80,OSMANİYE,37.06805000,36.26158900
81,DÜZCE,40.84384900,31.15654000
